,What happened?,Where is the delay?,Where is the construction?,Where is the incident?,Where is the event?,Where is the closure?,Cleared or Updated?
1620,Incident on SawMillRiverParkway NB,,,SawMillRiverParkway,SawMillRiverParkway,,Cleared
1621,Incident on SawMillRiverParkway NB,,,SawMillRiverParkway,SawMillRiverParkway,,Updated
1622,Incident on GoethalsBridge WB,,,GoethalsBridge WB,New Jersey Side,,
1623,Incident on SprainBrookStateParkway SB at Kimball Avenue,,,SprainBrookStateParkway SB at Kimball Avenue,SprainBrookStateParkway SB at Kimball Avenue,,Cleared
1624,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Cleared
1625,Special Event on BarclaysCenter,,,BarclaysCenter,BarclaysCenter,,Updated
1626,,,,,BarclaysCenter,,
1627,,,,,BarclaysCenter,,
1628,Incident on TaconicStateParkway,,,TaconicStateParkway,TaconicStateParkway,,
1629,Construction on BrooklynBatteryTunnel SB at Brooklyn Bound,,BrooklynBatteryTunnel SB at Brooklyn Bound,Construction on BrooklynBatteryTunnel SB at Brooklyn Bound,Brooklyn Bound,,Cleared
1630,Closure on MulberryStreet NB from Bayard Street to Canal Street,,,Closure on MulberryStreet NB from Bayard Street to Canal Street,Closure on MulberryStreet NB from Bayard Street to Canal Street,MulberryStreet NB from Bayard Street to Canal Street,Cleared
1631,Incident on PalisadesInterstateParkway SB at Town of Woodbury; Town of Stony Point Line,,,PalisadesInterstateParkway SB at Town of Woodbury; Town of Stony Point Line,Town of Woodbury; Town of Stony Point Line,,Cleared
1632,Incident on NewJerseyTurnpike NB at North of Delaware Memorial Bridge,,,NewJerseyTurnpike NB at North of Delaware Memorial Bridge,NewJerseyTurnpike NB at North of Delaware Memorial Bridge,,Cleared
1633,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Cleared
1634,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,Cleared
1635,Special Event on PrudentialCenterROCK,,,PrudentialCenterROCK,PrudentialCenterROCK,,
1636,Incident on BayonneBridge,,,BayonneBridge,BayonneBridge,,Cleared
1637,Incident on LincolnTunnel WB at New York Side - Center Tube,,,LincolnTunnel WB at New York Side - Center Tube,New York Side - Center Tube,,Cleared
1638,Incident on CrossBayBridge Both directions,,,CrossBayBridge Both directions,CrossBayBridge Both directions,,Cleared
1639,Construction on TaconicStateParkway NB at Lakeview Avenue,,TaconicStateParkway NB at Lakeview Avenue,,TaconicStateParkway NB at Lakeview Avenue,,Cleared
1640,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,Updated
1641,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,Updated
1642,Construction on TaconicStateParkway SB at Lakeview Avenue,,TaconicStateParkway SB at Lakeview Avenue,,TaconicStateParkway SB at Lakeview Avenue,,Cleared
1643,Incident on SprainBrookStateParkway SB at Kimball Avenue,,,SprainBrookStateParkway SB at Kimball Avenue,SprainBrookStateParkway SB at Kimball Avenue,,
1644,Incident on LincolnTunnel WB at New York Side - Center Tube,,,New York Side - Center Tube,New York Side - Center Tube,,Updated
1645,Incident on LincolnTunnel EB at New York Side - Center Tube,,,LincolnTunnel EB at New York Side - Center Tube,New York Side - Center Tube,,
1646,Incident on NewJerseyTurnpike NB at North of Delaware Memorial Bridge,,,NewJerseyTurnpike NB at North of Delaware Memorial Bridge,North of Delaware Memorial Bridge,,
1647,Incident on PalisadesInterstateParkway SB at Town of Woodbury; Town of Stony Point Line,,,Town of Woodbury,Town of Woodbury,,
1648,Incident on HutchinsonRiverParkwayWestchester SB at City of New Rochelle; Town of Scarsdale Line; Weaver Street,,Town of Scarsdale Line,City of New Rochelle,City of New Rochelle,,
1649,Incident on NewJerseyTurnpikeHudsonCountyExtension EB at West of Newark Bay Bridge,,,NewJerseyTurnpikeHudsonCountyExtension EB,NewJerseyTurnpikeHudsonCountyExtension EB at West of Newark Bay Bridge,,Cleared
1650,Incident on PulaskiSkyway SB at South Kearny,,,PulaskiSkyway SB at South Kearny,PulaskiSkyway SB at South Kearny,,Cleared
1651,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway; Bronx-Westchester County Line,,SawMillRiverParkway,City Yonkers,City Yonkers,,Cleared
1652,Construction on SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway,,SawMillRiverParkway,,SawMillRiverParkway NB from START ROUTE Saw Mill River Parkway,,Updated
1653,,,,on ALLHIGHWAYS Both directions,Incident on ALLHIGHWAYS Both directions,,
1654,,,,TheBeaconTheatre,TheBeaconTheatre,,
1655,Special Event on VerrazanonarrowsBridge WB,,,Staten Island Bound Upper Level,Staten Island Bound Upper Level,,Cleared
1656,Incident on LincolnTunnel WB at Mid-Tunnel - North Tube,,,LincolnTunnel WB at Mid-Tunnel - North Tube,LincolnTunnel WB at Mid-Tunnel - North Tube,,Cleared
1657,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
1658,Cleared: Incident on NewJerseyTurnpikePennsylvaniaExt EB at West of Toll Plaza,,,NewJerseyTurnpikePennsylvaniaExt EB at West of Toll Plaza,NewJerseyTurnpikePennsylvaniaExt EB at West of Toll Plaza,,Cleared
1659,Incident on RiverLine,,,Entertainment Center to Walter Rand Transportation Center,Entertainment Center,,Updated
1660,Construction on GeorgeWashingtonBridge WB from New York Side/Upper Level to New Jersey Side/Upper Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
1661,Incident on NewJerseyTurnpikeHudsonCountyExtension EB at West of Newark Bay Bridge,,Newark Bay Bridge,NewJerseyTurnpikeHudsonCountyExtension EB at West of Newark Bay Bridge,NewJerseyTurnpikeHudsonCountyExtension EB at West of Newark Bay Bridge,,
1662,Construction,,BrooklynBatteryTunnel SB at Brooklyn Bound,Brooklyn Bound,Brooklyn Bound,,
1663,Incident on PulaskiSkyway SB at South Kearny,,South Kearny,PulaskiSkyway SB at South Kearny,South Kearny,,
1664,Cleared: Special Event,,,on MainStreet Both directions from Sanford Avenue to Northern Boulevard,on MainStreet,,Cleared
1665,Special Event on SanfordAvenue,,,SanfordAvenue,SanfordAvenue,,Cleared
1666,Cleared: Incident on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,Cleared
1667,Incident on GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,GeorgeWashingtonBridge EB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,
1668,Special Event,,,Special Event on MainStreet Both directions from Sanford Avenue to Northern Boulevard,MainStreet,,Updated
1669,Special Event on SanfordAvenue,,,SanfordAvenue,SanfordAvenue,,Updated
1670,Special Event on NJPerformingArtsCenter at Victoria Theater,,,Victoria Theater,Victoria Theater,,
1671,Closure on MainStreet,,,Closure on MainStreet Both directions from Sanford Avenue to Northern Boulevard,Closure on MainStreet Both directions from Sanford Avenue to Northern Boulevard,MainStreet Both directions from Sanford Avenue to Northern Boulevard,Cleared
1672,Closure on SanfordAvenue Both directions from Union Street to Main Street,,,Closure on SanfordAvenue,Closure on SanfordAvenue,SanfordAvenue,Cleared
1673,Incident on NewJerseyTurnpikePennsylvaniaExt EB at West of Toll Plaza,,,NewJerseyTurnpikePennsylvaniaExt EB at West of Toll Plaza,West of Toll Plaza,,
1674,Incident on GardenStateParkway NB at Asbury Toll Plaza,,GardenStateParkway NB at Asbury Toll Plaza,GardenStateParkway NB at Asbury Toll Plaza,Asbury Toll Plaza,,Cleared
1675,Incident on BayonneBridge,,,BayonneBridge,Incident on BayonneBridge,,
1676,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Updated
1677,,,,PrudentialCenterROCK,PrudentialCenterROCK,,
1678,Incident on MulberryStreet NB from Worth Street to Canal Street,,MulberryStreet NB from Worth Street to Canal Street,MulberryStreet NB from Worth Street to Canal Street,MulberryStreet NB from Worth Street to Canal Street,,
1679,Incident on GardenStateParkway SB at South of Barnegat Tolls,,,on GardenStateParkway SB at South of Barnegat Tolls,GardenStateParkway SB at South of Barnegat Tolls,,
1680,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,LincolnTunnel WB,LincolnTunnel WB,,Cleared
1681,Incident on GardenStateParkway NB at Asbury Toll Plaza,,GardenStateParkway NB at Asbury Toll Plaza,on GardenStateParkway NB at Asbury Toll Plaza,Asbury Toll Plaza,,
1682,Cleared: Incident on GardenStateParkway NB at South of Garden State Parkway - Cheesequake Service Area,,,GardenStateParkway NB at South of Garden State Parkway - Cheesequake Service Area,GardenStateParkway NB at South of Garden State Parkway - Cheesequake Service Area,,Cleared
1683,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,Updated
1684,Incident on BabylonBranch Both directions at Higbie Lane,,,BabylonBranch Both directions at Higbie Lane,BabylonBranch,,Cleared
1685,Incident on RiverLine,,,Entertainment Center to Walter Rand Transportation Center,Entertainment Center,,Updated
1686,Incident on RiverLine,,,on RiverLine Both directions from Entertainment Center to Walter Rand Transportation Center,Entertainment Center,,
1687,Incident on VerrazanonarrowsBridge Both directions,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,
1688,Incident on GardenStateParkway NB at South of Raritan Toll Plaza,,GardenStateParkway NB at South of Raritan Toll Plaza,GardenStateParkway NB at South of Raritan Toll Plaza,GardenStateParkway NB at South of Raritan Toll Plaza,,Cleared
1689,Incident on GardenStateParkway NB at South of Garden State Parkway - Cheesequake Service Area,,,GardenStateParkway NB,GardenStateParkway NB at South of Garden State Parkway - Cheesequake Service Area,,
1690,Closure on MainStreet Both directions,Closure on MainStreet Both directions from Sanford Avenue to Northern Boulevard,,Closure on MainStreet Both directions from Sanford Avenue to Northern Boulevard,Closure on MainStreet Both directions from Sanford Avenue to Northern Boulevard,Sanford Avenue to Northern Boulevard,
1691,Closure on SanfordAvenue Both directions from Union Street to Main Street,Closure on SanfordAvenue Both directions from Union Street to Main Street,,Closure on SanfordAvenue,Closure on SanfordAvenue,SanfordAvenue Both directions from Union Street to Main Street,
1692,Incident on BabylonBranch Both directions at Higbie Lane,,,BabylonBranch Both directions at Higbie Lane,BabylonBranch Both directions at Higbie Lane,,Updated
1693,Incident on GardenStateParkway NB at South of Raritan Toll Plaza,,GardenStateParkway NB at South of Raritan Toll Plaza,GardenStateParkway NB,GardenStateParkway NB at South of Raritan Toll Plaza,,
1694,Closure on MulberryStreet NB from Bayard Street to Canal Street,MulberryStreet NB from Bayard Street to Canal Street,,Closure on MulberryStreet NB from Bayard Street to Canal Street,Closure on MulberryStreet NB from Bayard Street to Canal Street,MulberryStreet NB from Bayard Street to Canal Street,Updated
1695,,,,MarineParkwayBridge,MarineParkwayBridge,,
1696,Incident on CrossBayBridge Both directions,,,CrossBayBridge,CrossBayBridge,,
1697,Construction on TaconicStateParkway SB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
1698,,,,BabylonBranch,BabylonBranch,,
1699,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB at New York Side/Lower Level,,Cleared
1700,Incident on CanalStreet EB from Mott Street to Elizabeth Street,,,CanalStreet EB,CanalStreet EB,,Cleared
1701,Construction on GrandCentralParkway EB at Main Street,,GrandCentralParkway EB at Main Street,,GrandCentralParkway EB at Main Street,,Cleared
1702,Construction on TaconicStateParkway NB at Lakeview Avenue,,Lakeview Avenue,,Lakeview Avenue,,
1703,Special Event on LincolnTunnel WB from New York Side - Center Tube to New Jersey Side - Center Tube,,,LincolnTunnel WB,LincolnTunnel WB,,
1704,Closure on LincolnTunnel,,,Closure on LincolnTunnel,Closure on LincolnTunnel,LincolnTunnel,Cleared
1705,Incident on RFKTriboroughBridge All directions,,,RFKTriboroughBridge,RFKTriboroughBridge,,
1706,Construction on BronxRiverParkway,Construction on BronxRiverParkway NB from START ROUTE Bronx River Parkway; Story Avenue,BronxRiverParkway,Bronx River Parkway,BronxRiverParkway NB from START ROUTE Bronx River Parkway,,Updated
1707,Incident on ThrogsNeckBridge Both directions,,,ThrogsNeckBridge,ThrogsNeckBridge,,
1708,Incident on QueensMidtownTunnel,,QueensMidtownTunnel,QueensMidtownTunnel,QueensMidtownTunnel,,
1709,Incident on CrossBayBridge,,,on CrossBayBridge,Incident on CrossBayBridge,,
1710,Incident on HenryHudsonBridge,,,HenryHudsonBridge,HenryHudsonBridge,,
1711,Incident on RiverLine,,,on RiverLine Both directions from Entertainment Center to Walter Rand Transportation Center,Entertainment Center,,Cleared
1712,Incident on MarineParkwayBridge Both directions,,,MarineParkwayBridge,MarineParkwayBridge,,Updated
1713,Incident on BronxwhitestoneBridge Both directions,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,Incident on BronxwhitestoneBridge Both directions
1714,Incident on BrooklynBatteryTunnel,,,BrooklynBatteryTunnel,BrooklynBatteryTunnel,,
1715,Incident on VerrazanonarrowsBridge,,,VerrazanonarrowsBridge,VerrazanonarrowsBridge,,
1716,Incident on BronxwhitestoneBridge Both directions,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,BronxwhitestoneBridge,Incident on BronxwhitestoneBridge Both directions
1717,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
1718,Incident on NLine Queens,,,NLine Queens,NLine Queens bound from Manhattan to Queens,,
1719,Incident on RLine from Manhattan to Queens,,,on RLine from Manhattan to Queens,Incident on RLine from Manhattan to Queens,,
1720,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,GeorgeWashingtonBridge WB,,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,Cleared
1721,Construction on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Cleared
1722,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,Updated
1723,Special Event on BrooklynBatteryTunnel at Manhattan Bound,,,BrooklynBatteryTunnel at Manhattan Bound,BrooklynBatteryTunnel at Manhattan Bound,,Cleared
1724,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,Updated
1725,Special Event on BrooklynBatteryTunnel at Brooklyn Bound,,,BrooklynBatteryTunnel at Brooklyn Bound,BrooklynBatteryTunnel at Brooklyn Bound,,Cleared
1726,Closure on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,,New York Side/Lower Level to New Jersey Side/Lower Level,New York Side/Lower Level to New Jersey Side/Lower Level,from New York Side/Lower Level to New Jersey Side/Lower Level,Updated
1727,Construction on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower,,Lower Trans Manhattan Expressway,,Updated
1728,Closure on GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB from Lower Trans Manhattan Expressway to New York Side/Lower Level,Cleared
1729,Construction on GeorgeWashingtonBridge WB from Henry Hudson Parkway to New York Side/Upper Level,,GeorgeWashingtonBridge WB,,,,Cleared
1730,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Cleared
1731,Construction on GeorgeWashingtonBridge WB at Lower Trans Manhattan Expressway,,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,Lower Trans Manhattan Expressway,,Updated
1732,Construction on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,GeorgeWashingtonBridge WB,,GeorgeWashingtonBridge WB,,Updated
1733,Construction on GeorgeWashingtonBridge WB from Henry Hudson Parkway to New York Side/Upper Level,,GeorgeWashingtonBridge WB from Henry Hudson Parkway to New York Side/Upper Level,,Henry Hudson Parkway,,Updated
1734,Closure on GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,,,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB,GeorgeWashingtonBridge WB from New York Side/Lower Level to New Jersey Side/Lower Level,Cleared
1735,Incident on GeorgeWashingtonBridge WB at New York Side/Lower Level,,,GeorgeWashingtonBridge WB at New York Side/Lower Level,New York Side/Lower Level,,
1736,Incident on GeorgeWashingtonBridge WB at New York Side/Upper Level,,,GeorgeWashingtonBridge WB at New York Side/Upper Level,New York Side/Upper Level,,
